,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(535, 220, 270, 225, (1, 1, 1))",-0.18938044915766367,0.0,0.0,0.0,0.0,0.0,0.0,0.6044294939428878,10056.385397022039
"(487, 240, 315, 270, (1, 1, 1))",0.0,0.0,-0.050868999352981364,-0.0519973574661246,13110.436940376538,367.4045033657852,1583.5745970445419,-0.05135093884652382,-0.05184338253561363
"(430, 260, 0, 315, (1, 1, 1))",0.0,-0.05042322512885971,-0.0513942442385362,-0.05069677503173861,0.0,0.0,-0.051828061465740254,0.0,-0.05328806499904322
"(367, 280, 45, 0, (1, 1, 1))",-0.0511414853466666,-0.05209897860240255,0.0,-0.051610479147700894,0.0,-0.05360755377867547,0.0,-0.05295544664514919,0.0
"(300, 300, 0, 315, (1, 1, 1))",-0.05173195757223921,0.0,-0.051273410778722564,-0.05069677503173863,-0.051273410778722564,3507.3649658828185,0.0,0.0,0.0
"(233, 320, 315, 270, (1, 1, 1))",-0.05314951866410031,-0.052963522154327515,0.0,0.0,-0.052333334680597136,-0.05215240397678383,-0.05107912726197486,0.0,0.0
"(170, 340, 315, 315, (1, 1, 1))",-0.05342797506902505,0.0,0.0,-0.05289240602883791,0.0,0.0,-0.051944740308067776,-0.052168087046159495,0.0
"(113, 360, 270, 270, (1, 1, 1))",0.0,-0.05376556826902088,0.0,-0.05376556826902088,-0.05383754542746275,0.0,0.0,0.0,-0.05324011245864089
"(65, 380, 315, 315, (1, 1, 1))",0.0,-0.05373084663272514,0.0,0.0,0.0,0.0,-0.05283818097712607,0.0,0.0
"(30, 400, 270, 315, (1, 1, 1))",-0.05411952896062139,-0.053491591576600134,-0.052453959073431436,-0.05433347052625002,0.0,-0.053107648843057076,-0.053971662369782174,-0.053903981556167296,0.0
"(8, 420, 315, 270, (1, 1, 1))",-0.05413534173171428,-0.0544013138991087,0.0,-0.053557866265321045,0.0,-0.05406242988440564,-0.052549971779545304,0.0,0.0
"(0, 440, 315, 225, (1, 1, 1))",-0.053186400554780904,0.0,0.0,0.0,0.0,0.0,0.0,-0.05250666239299262,0.0
