,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(233, 320, 180, 270, (1, 1, 1))",185.43218072739916,-0.05215041739884836,-0.051111807216165754,0.0,0.0,0.0,-0.05368131285627046,-0.05314951866410031,-0.05218959929943998
"(170, 340, 225, 270, (1, 1, 1))",-0.05367547621779393,-0.052996696762238185,518.7474506791925,-0.053840315579986066,0.0,0.0,-0.05346459936584957,0.0,-0.05289240602883791
"(113, 360, 180, 225, (1, 1, 1))",-0.05321465337872011,0.0,-0.052158635035131885,-0.053725220686918464,0.0,0.0,-0.05370870161789304,-0.05401458044256494,0.0
"(65, 380, 135, 270, (1, 1, 1))",-0.051721179129869836,-0.05129158649797121,0.0,-0.05284177594966935,0.0,-0.05129158649797121,0.0,0.0,0.0
"(30, 400, 90, 225, (1, 1, 1))",0.6537347811008782,0.0,0.0,-0.05178564195131892,-0.05166323987521079,0.0,0.0,0.0,0.0
"(8, 420, 90, 180, (1, 1, 1))",-0.05062734022382096,-0.05069322026218235,0.0,-0.05156000537699617,-0.051587267994471414,0.0,0.0,0.0,0.0
"(0, 440, 45, 180, (1, 1, 1))",-0.05064598822847775,0.0,-0.05250666239299262,0.0,0.0,0.0,-0.051480234500364444,142.90706573424447,0.0
"(8, 460, 90, 135, (1, 1, 1))",-0.051905868291094885,-0.050964253977299846,9353.716542458067,0.0,0.0,0.0,0.0,0.0,-0.052239492892245415
"(30, 480, 45, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,9353.734830523566,0.0,-0.05178408719789958,0.0
"(65, 500, 45, 180, (0, 1, 1))",-0.24459338497932429,-0.28187086527692584,-0.28082376317311525,-0.2444657916585349,-0.41467497120377633,-0.2736852316342897,-0.2821633517161973,-0.2688337920024997,-0.2691157798661988
"(113, 520, 45, 135, (0, 1, 1))",-0.16564419508940328,-0.20634435613866167,-0.21247201572660382,-0.16550664517012365,-0.16248915089004393,-0.21212750539117625,-0.1643872003642592,-0.21468657956284903,-0.2090821168464663
"(170, 540, 45, 135, (0, 1, 1))",-0.16641393741883326,-0.21538984078977527,-0.21217341039087617,-0.16683375143885337,-0.16386311452350674,-0.21241682587895377,-0.16563895479188645,-0.21441156333219138,-0.21024374630533255
"(233, 560, 45, 135, (0, 1, 1))",-0.15325012167820096,-0.19081471787723384,-0.1878783096886973,-0.15391778672185272,-0.19183500745095966,-0.18848231662652914,-0.15279507667558345,-0.19065961163880885,-0.18702389730937627
